"","GSPC.Open","GSPC.High","GSPC.Low","GSPC.Close","GSPC.Volume","GSPC.Adjusted"
"2018-06-18",2765.790039,2774.98999,2743.189941,2754.879883,19026830000,2754.879883
"2018-06-25",2742.939941,2746.090088,2691.98999,2718.370117,17980020000,2718.370117
"2018-07-02",2704.949951,2764.409912,2698.949951,2759.820068,10493320000,2759.820068
"2018-07-09",2775.620117,2804.530029,2770.72998,2801.310059,14514320000,2801.310059
"2018-07-16",2797.360107,2816.76001,2789.23999,2801.830078,15449650000,2801.830078
"2018-07-23",2799.169922,2848.030029,2795.139893,2818.820068,16947010000,2818.820068
"2018-07-30",2819,2840.379883,2796.340088,2840.350098,17132630000,2840.350098
"2018-08-06",2840.290039,2863.429932,2825.810059,2833.280029,15312600000,2833.280029
"2018-08-13",2835.459961,2855.629883,2802.48999,2850.129883,16024470000,2850.129883
"2018-08-20",2853.929932,2876.159912,2850.620117,2874.689941,13894820000,2874.689941
"2018-08-27",2884.689941,2916.5,2884.689941,2901.52002,14011570000,2901.52002
"2018-09-03",2896.959961,2900.179932,2864.120117,2871.679932,12404170000,2871.679932
"2018-09-10",2881.389893,2908.300049,2866.780029,2904.97998,15300720000,2904.97998
"2018-09-17",2903.830078,2940.909912,2886.159912,2929.669922,18247730000,2929.669922
"2018-09-24",2921.830078,2931.149902,2903.280029,2913.97998,16539460000,2913.97998
"2018-10-01",2926.290039,2939.860107,2869.290039,2885.570068,17190620000,2885.570068
"2018-10-08",2877.530029,2894.830078,2710.51001,2767.129883,20208740000,2767.129883
"2018-10-15",2763.830078,2816.939941,2749.030029,2767.780029,17233120000,2767.780029
"2018-10-22",2773.939941,2778.939941,2628.159912,2658.689941,21802950000,2658.689941
"2018-10-29",2682.649902,2756.550049,2603.540039,2723.060059,23838850000,2723.060059
"2018-11-05",2726.370117,2815.149902,2717.939941,2781.01001,18698510000,2781.01001
"2018-11-12",2773.929932,2775.98999,2670.75,2736.27002,20319060000,2736.27002
"2018-11-19",2730.73999,2733.159912,2631.090088,2632.560059,1.3016e+10,2632.560059
"2018-11-26",2649.969971,2760.879883,2649.969971,2760.169922,19100190000,2760.169922
"2018-12-03",2790.5,2800.179932,2621.530029,2633.080078,18044060000,2633.080078
"2018-12-10",2630.860107,2685.439941,2583.22998,2599.949951,19978530000,2599.949951
"2018-12-17",2590.75,2601.129883,2408.550049,2416.620117,27409960000,2416.620117
"2018-12-24",2400.560059,2520.27002,2346.580078,2485.73999,14647150000,2485.73999
"2018-12-31",2498.939941,2538.070068,2443.959961,2531.939941,15212300000,2531.939941
"2019-01-07",2535.610107,2597.820068,2524.560059,2596.26001,19379210000,2596.26001
"2019-01-14",2580.310059,2675.469971,2570.409912,2670.709961,18859550000,2670.709961
"2019-01-21",2657.879883,2672.379883,2612.860107,2664.76001,14490970000,2664.76001
"2019-01-28",2644.969971,2716.659912,2624.060059,2706.530029,19661740000,2706.530029
"2019-02-04",2706.48999,2738.97998,2681.830078,2707.879883,18114780000,2707.879883
"2019-02-11",2712.399902,2775.659912,2703.790039,2775.600098,18338580000,2775.600098
"2019-02-18",2769.280029,2794.199951,2764.550049,2792.669922,14356680000,2792.669922
"2019-02-25",2804.350098,2813.48999,2775.129883,2803.689941,19586400000,2803.689941
"2019-03-04",2814.370117,2816.879883,2722.27002,2743.070068,18620090000,2743.070068
"2019-03-11",2747.610107,2830.72998,2747.610107,2822.47998,20361870000,2822.47998
"2019-03-18",2822.610107,2860.310059,2800.469971,2800.709961,18727610000,2800.709961
"2019-03-25",2796.01001,2836.030029,2785.02002,2834.399902,16914430000,2834.399902
"2019-04-01",2848.629883,2893.23999,2848.629883,2892.73999,16459900000,2892.73999
"2019-04-08",2888.459961,2910.540039,2873.330078,2907.409912,15751420000,2907.409912
"2019-04-15",2908.320068,2918,2891.899902,2905.030029,13599690000,2905.030029
"2019-04-22",2898.780029,2939.879883,2896.350098,2939.879883,16755720000,2939.879883
"2019-04-29",2940.580078,2954.129883,2900.5,2945.639893,17800970000,2945.639893
"2019-05-06",2908.889893,2937.320068,2825.389893,2881.399902,17602830000,2881.399902
"2019-05-13",2840.189941,2892.149902,2801.429932,2859.530029,16938710000,2859.530029
"2019-05-20",2841.939941,2868.879883,2805.48999,2826.060059,16479450000,2826.060059
"2019-05-27",2830.030029,2840.51001,2750.52002,2752.060059,15076270000,2752.060059
"2019-06-03",2751.530029,2884.969971,2728.810059,2873.340088,17942620000,2873.340088
"2019-06-10",2885.830078,2910.610107,2874.679932,2886.97998,15783900000,2886.97998
"2019-06-17",2889.75,2964.149902,2887.300049,2950.459961,18441710000,2950.459961
"2019-06-24",2951.419922,2954.919922,2912.98999,2941.76001,18736050000,2941.76001
"2019-07-01",2971.409912,2995.840088,2952.219971,2990.409912,11118040000,2990.409912
"2019-07-08",2979.77002,3013.919922,2963.439941,3013.77002,15216580000,3013.77002
"2019-07-15",3017.800049,3017.800049,2973.090088,2976.610107,15904160000,2976.610107
"2019-07-22",2981.929932,3027.97998,2976.649902,3025.860107,16649220000,3025.860107
"2019-07-29",3024.469971,3025.610107,2914.110107,2932.050049,20098430000,2932.050049
"2019-08-05",2898.070068,2938.719971,2822.120117,2918.649902,20616730000,2918.649902
"2019-08-12",2907.070068,2943.310059,2825.51001,2888.679932,18553910000,2888.679932
"2019-08-19",2913.47998,2939.080078,2834.969971,2847.110107,16118550000,2847.110107
"2019-08-26",2866.699951,2940.429932,2853.050049,2926.459961,15673290000,2926.459961
"2019-09-02",2909.01001,2985.860107,2891.850098,2978.709961,13689030000,2978.709961
"2019-09-09",2988.429932,3020.73999,2957.01001,3007.389893,19633130000,3007.389893
"2019-09-16",2996.409912,3021.98999,2978.570068,2992.070068,20728050000,2992.070068
"2019-09-23",2983.5,3007.97998,2945.530029,2961.790039,16694510000,2961.790039
"2019-09-30",2967.070068,2992.530029,2855.939941,2952.01001,17212640000,2952.01001
"2019-10-07",2944.22998,2993.280029,2892.659912,2970.27002,15821120000,2970.27002
"2019-10-14",2965.810059,3008.290039,2962.939941,2986.199951,15500580000,2986.199951
"2019-10-21",2996.47998,3027.389893,2991.209961,3022.550049,17251350000,3022.550049
"2019-10-28",3032.120117,3066.949951,3023.189941,3066.909912,18956670000,3066.909912
"2019-11-04",3078.959961,3097.77002,3065.889893,3093.080078,20734960000,3093.080078
"2019-11-11",3080.330078,3120.459961,3075.820068,3120.459961,16622540000,3120.459961
"2019-11-18",3117.909912,3127.639893,3091.409912,3110.290039,18008990000,3110.290039
"2019-11-25",3117.439941,3154.26001,3117.439941,3140.97998,12883230000,3140.97998
"2019-12-02",3143.850098,3150.600098,3070.330078,3145.909912,17452390000,3145.909912
"2019-12-09",3141.860107,3182.679932,3126.090088,3168.800049,17669880000,3168.800049
"2019-12-16",3183.629883,3225.649902,3183.629883,3221.219971,22078130000,3221.219971
"2019-12-23",3226.050049,3247.929932,3220.51001,3240.02002,8946500000,3240.02002
"2019-12-30",3240.090088,3258.139893,3212.030029,3234.850098,12826640000,3234.850098
"2020-01-06",3217.550049,3282.98999,3214.639893,3265.350098,17666700000,3265.350098
