Date,Open,High,Low,Close,Adj Close,Volume
2020-09-15,77.559998,79.480003,74.680000,76.300003,70.129410,65983000
2020-09-22,76.150002,77.529999,70.500000,73.930000,67.951065,64942000
2020-09-29,74.000000,74.139999,68.820000,72.699997,66.820549,57854800
2020-10-06,73.839996,76.089996,71.559998,74.510002,68.484154,63613500
2020-10-13,74.739998,74.739998,71.190002,71.279999,65.515366,45212600
2020-10-20,71.910004,74.360001,70.239998,70.940002,65.202866,45802000
2020-10-27,70.419998,73.080002,65.160004,72.150002,66.315025,71172900
2020-11-03,73.160004,84.269997,69.889999,79.400002,72.978683,62543500
2020-11-10,81.139999,89.180000,79.709999,88.959999,81.765541,65471500
2020-11-17,86.400002,91.580002,83.059998,91.029999,83.668129,55406800
2020-11-24,93.389999,95.820000,86.900002,87.180000,81.308540,46730100
2020-12-01,89.279999,93.449997,87.070000,90.760002,84.647438,48862500
2020-12-08,90.339996,94.559998,89.239998,89.440002,83.416336,52531700
2020-12-15,89.419998,90.480003,83.529999,86.089996,80.291962,72275200
2020-12-22,85.440002,86.660004,84.300003,84.900002,79.182098,27196400
2020-12-29,85.260002,86.580002,83.889999,84.709999,79.004883,33158200
2021-01-05,85.489998,92.430000,85.320000,91.599998,85.430862,58405300
2021-01-12,92.660004,96.320000,91.709999,92.089996,85.887856,44842000
2021-01-19,93.500000,95.559998,89.330002,90.900002,84.778000,44203300
2021-01-26,92.199997,92.910004,84.570000,86.410004,80.590401,48935200
2021-02-02,88.010002,92.040001,86.529999,91.480003,85.318939,44311100
2021-02-09,91.099998,92.730003,89.809998,92.550003,86.316887,32815000
2021-02-16,93.050003,99.639999,92.610001,98.389999,91.763565,59471500
2021-02-23,99.970001,104.959999,96.800003,102.050003,96.522438,69103200
2021-03-02,101.889999,110.430000,101.709999,109.750000,103.805367,90267700
2021-03-09,109.070000,112.699997,107.879997,110.250000,104.278290,68808400
2021-03-16,108.529999,108.879997,102.309998,102.540001,96.985901,65113100
2021-03-23,101.449997,107.540001,100.690002,106.919998,101.128662,54309200
2021-03-30,106.059998,106.830002,104.169998,104.510002,98.849197,32447500
2021-04-06,104.250000,105.080002,101.510002,101.779999,96.267059,39117000
2021-04-13,101.559998,105.330002,101.290001,103.260002,97.666901,39413600
2021-04-20,102.830002,102.989998,100.139999,101.519997,96.021141,40343300
2021-04-27,101.809998,107.650002,101.510002,105.529999,99.813942,47025700
2021-05-04,105.959999,113.110001,104.849998,109.570000,103.635109,55091100
2021-05-11,109.059998,110.879997,105.440002,110.809998,104.807945,55940000
2021-05-18,108.940002,109.059998,101.970001,105.599998,99.880150,54367300
2021-05-25,105.430000,105.620003,102.570000,103.790001,99.369843,36098000
2021-06-01,105.300003,108.699997,105.300003,107.750000,103.161201,41659600
2021-06-08,107.650002,110.250000,106.300003,107.970001,103.371834,51016200
2021-06-15,108.410004,110.510002,96.309998,106.050003,101.533607,70037300
2021-06-22,105.330002,108.129997,103.660004,103.989998,99.561333,46198200
2021-06-29,104.589996,107.099998,103.610001,106.070000,101.552742,33133900
2021-07-06,105.970001,105.970001,101.220001,104.279999,99.838974,45569800
2021-07-13,104.000000,105.320000,94.519997,95.959999,91.873306,55204900
2021-07-20,95.889999,101.260002,95.050003,100.949997,96.650787,49085300
2021-07-27,100.050003,104.050003,98.940002,101.629997,97.301834,46766600
2021-08-03,101.589996,102.910004,99.930000,100.250000,95.980606,42531900
2021-08-10,100.739998,103.250000,99.910004,100.919998,96.622070,40269200
2021-08-17,100.199997,101.680000,92.860001,96.730003,92.610519,61239900
2021-08-24,97.500000,99.459999,96.720001,98.389999,95.469849,44800400
2021-08-31,98.139999,98.430000,95.470001,97.489998,94.596550,47671300
2021-09-07,97.019997,98.709999,95.349998,97.970001,95.062309,52740000
2021-09-14,98.379997,98.739998,93.309998,94.779999,91.966988,69336400
2021-09-21,95.570000,103.779999,94.029999,102.970001,99.913918,55268900
2021-09-28,103.910004,105.860001,101.449997,104.720001,101.611977,65309000
2021-10-05,106.040001,109.629997,103.580002,107.129997,103.950439,52859800
2021-10-12,106.989998,110.410004,106.169998,109.559998,106.308319,46599800
2021-10-19,110.160004,114.349998,109.800003,113.849998,110.470993,48800400
2021-10-26,113.980003,115.290001,111.580002,114.529999,111.130814,50605300
2021-11-02,114.180000,115.989998,111.970001,115.150002,111.732414,45076700
2021-11-09,115.269997,116.949997,113.570000,116.820000,113.352852,48301700
2021-11-16,117.110001,118.080002,111.099998,113.910004,110.529221,53522600
2021-11-23,115.190002,118.000000,112.629997,114.849998,112.729324,42733300
2021-11-30,113.449997,117.449997,111.930000,116.199997,114.054398,68425300
2021-12-07,117.239998,119.260002,115.610001,115.879997,113.740303,46205900
2021-12-14,115.739998,118.190002,110.730003,113.650002,111.551483,70851800
2021-12-21,114.430000,118.820000,114.290001,118.790001,116.596581,34875500
2021-12-28,118.660004,119.339996,117.290001,117.430000,115.261688,19489400
