Weekly_Date,XOM,CVX
7/29/2019,74.88,123.48
7/22/2019,75.24,125.37
7/15/2019,77.63,126.06
7/8/2019,76.14,123.66
7/1/2019,77.13,125.36
6/24/2019,77.53,124.54
6/17/2019,74.16,120.72
6/10/2019,75.19,122.2
6/3/2019,71.09,114.7
5/20/2019,76.05,120.71
5/13/2019,75.65,121.91
5/6/2019,76.92,117.5
4/29/2019,80.12,117.01
4/22/2019,81.87,120.78
4/15/2019,80.89,120.02
4/8/2019,82.67,126.77
4/1/2019,81.23,123.87
3/25/2019,80,122.93
3/18/2019,80.44,125.21
3/11/2019,79.98,122.87
3/4/2019,80.24,122.67
2/25/2019,78.43,119.41
2/11/2019,73.88,116.93
2/4/2019,75.76,117.5
1/28/2019,71.02,111.91
1/14/2019,71.21,111.34
1/7/2019,71.25,111.06
12/31/2018,68.32,109.15
12/24/2018,66.87,103.3
12/17/2018,75.26,113.44
12/10/2018,77.86,115.3
12/3/2018,80.24,120.77
11/26/2018,76.24,114.6
11/19/2018,78.46,118.14
11/12/2018,81.66,120.9
11/5/2018,82.5,116.62
10/29/2018,78.07,112.04
10/22/2018,82,118.1
10/15/2018,81.38,117.7
10/8/2018,84.79,124.05
10/1/2018,85.35,123.11
9/24/2018,85.79,121.91
9/17/2018,83,117.61
9/10/2018,82.24,115.43
8/27/2018,79.91,119.36
8/20/2018,78.26,118
8/13/2018,79.45,123.31
8/6/2018,80.25,124.42
7/30/2018,82.13,126.76
7/23/2018,81.95,122.35
7/16/2018,82.52,123.01
7/9/2018,82.81,125
7/2/2018,81.89,125.28
6/25/2018,80.78,124.43
6/18/2018,80.4,124.35
6/11/2018,83.72,126.77
6/4/2018,82.05,124.53
5/21/2018,81.73,128.79
5/14/2018,81.7,130.25
5/7/2018,77.74,126.59
4/30/2018,77.91,127.02
4/23/2018,78.92,122
4/16/2018,78.12,120.6
4/9/2018,75.22,115.3
4/2/2018,74.27,113.89
3/26/2018,73.65,114.24
3/19/2018,75,115.07
3/12/2018,74.87,117.5
3/5/2018,75.23,111.4
2/26/2018,77.74,113.18
2/12/2018,77.05,114.8
2/5/2018,83.28,116.99
1/29/2018,88.59,130.06
1/22/2018,87.17,131.3
1/8/2018,86.7,127.86
12/18/2017,83.18,119.92
12/11/2017,82.95,120.29
12/4/2017,83.21,119.81
11/27/2017,81.32,115.85
11/20/2017,80.23,114.77
11/13/2017,82.65,117.22
