Colorado All Grades All Formulations Retail Gasoline Prices Weekly
https://www.eia.gov/opendata/v1/qb.php?category=240850&sdid=PET.EMM_EPM0_PTE_SCO_DPG.W
21:27:09 GMT-0700 (Pacific Daylight Time)
Source: U.S. Energy Information Administration
Week of,Series ID: PET.EMM_EPM0_PTE_SCO_DPG.W Dollars per Gallon
04/9/2018,2.599
04/2/2018,2.598
03/26/2018,2.553
03/19/2018,2.495
03/12/2018,2.477
03/5/2018,2.48
02/26/2018,2.501
02/19/2018,2.538
02/12/2018,2.567
02/5/2018,2.58
01/29/2018,2.565
01/22/2018,2.52
01/15/2018,2.508
01/8/2018,2.5
01/1/2018,2.509
12/25/2017,2.516
12/18/2017,2.549
12/11/2017,2.576
12/4/2017,2.604
11/27/2017,2.627
11/20/2017,2.636
11/13/2017,2.65
11/6/2017,2.626
10/30/2017,2.557
10/23/2017,2.554
10/16/2017,2.53
10/9/2017,2.545
10/2/2017,2.569
09/25/2017,2.582
09/18/2017,2.606
09/11/2017,2.642
09/4/2017,2.664
08/28/2017,2.414
08/21/2017,2.404
08/14/2017,2.41
08/7/2017,2.413
07/31/2017,2.356
07/24/2017,2.342
07/17/2017,2.301
07/10/2017,2.306
07/3/2017,2.298
06/26/2017,2.332
06/19/2017,2.385
06/12/2017,2.418
06/5/2017,2.442
05/29/2017,2.449
05/22/2017,2.403
05/15/2017,2.402
05/8/2017,2.414
05/1/2017,2.426
04/24/2017,2.437
04/17/2017,2.426
04/10/2017,2.371
04/3/2017,2.291
03/27/2017,2.278
03/20/2017,2.263
03/13/2017,2.274
03/6/2017,2.288
02/27/2017,2.277
02/20/2017,2.286
02/13/2017,2.254
02/6/2017,2.258
01/30/2017,2.291
01/23/2017,2.322
01/16/2017,2.349
01/9/2017,2.371
01/2/2017,2.336
12/26/2016,2.262
12/19/2016,2.196
12/12/2016,2.145
12/5/2016,2.11
11/28/2016,2.101
11/21/2016,2.139
11/14/2016,2.186
11/7/2016,2.226
10/31/2016,2.261
10/24/2016,2.265
10/17/2016,2.269
10/10/2016,2.266
10/3/2016,2.259
09/26/2016,2.247
09/19/2016,2.264
09/12/2016,2.286
09/5/2016,2.29
08/29/2016,2.29
08/22/2016,2.211
08/15/2016,2.167
08/8/2016,2.179
08/1/2016,2.218
07/25/2016,2.258
07/18/2016,2.288
07/11/2016,2.311
07/4/2016,2.331
06/27/2016,2.347
06/20/2016,2.364
06/13/2016,2.356
06/6/2016,2.343
05/30/2016,2.338
05/23/2016,2.319
05/16/2016,2.234
05/9/2016,2.23
05/2/2016,2.199
04/25/2016,2.166
04/18/2016,2.152
04/11/2016,2.027
04/4/2016,2.046
03/28/2016,2.052
03/21/2016,2.034
03/14/2016,2
03/7/2016,1.884
02/29/2016,1.747
02/22/2016,1.641
