New York All Grades All Formulations Retail Gasoline Prices Weekly
https://www.eia.gov/opendata/v1/qb.php?category=240886&sdid=PET.EMM_EPM0_PTE_SNY_DPG.W
21:26:00 GMT-0700 (Pacific Daylight Time)
Source: U.S. Energy Information Administration
Week of,Series ID: PET.EMM_EPM0_PTE_SNY_DPG.W Dollars per Gallon
05/8/2017,2.594
05/1/2017,2.608
04/24/2017,2.622
04/17/2017,2.62
04/10/2017,2.576
04/3/2017,2.513
03/27/2017,2.493
03/20/2017,2.503
03/13/2017,2.507
03/6/2017,2.509
02/27/2017,2.525
02/20/2017,2.546
02/13/2017,2.547
02/6/2017,2.559
01/30/2017,2.583
01/23/2017,2.602
01/16/2017,2.61
01/9/2017,2.629
01/2/2017,2.622
12/26/2016,2.567
12/19/2016,2.52
12/12/2016,2.491
12/5/2016,2.467
11/28/2016,2.45
11/21/2016,2.449
11/14/2016,2.473
11/7/2016,2.496
10/31/2016,2.466
10/24/2016,2.464
10/17/2016,2.435
10/10/2016,2.43
10/3/2016,2.397
09/26/2016,2.383
09/19/2016,2.379
09/12/2016,2.381
09/5/2016,2.405
08/29/2016,2.399
08/22/2016,2.38
08/15/2016,2.374
08/8/2016,2.384
08/1/2016,2.419
07/25/2016,2.437
07/18/2016,2.457
07/11/2016,2.468
07/4/2016,2.486
06/27/2016,2.496
06/20/2016,2.507
06/13/2016,2.509
06/6/2016,2.504
05/30/2016,2.505
05/23/2016,2.469
05/16/2016,2.449
05/9/2016,2.448
05/2/2016,2.435
04/25/2016,2.376
04/18/2016,2.344
04/11/2016,2.263
04/4/2016,2.244
03/28/2016,2.222
03/21/2016,2.132
03/14/2016,2.095
03/7/2016,2.036
02/29/2016,2.025
02/22/2016,2.042
02/15/2016,2.05
02/8/2016,2.102
02/1/2016,2.133
01/25/2016,2.173
01/18/2016,2.2
01/11/2016,2.263
01/4/2016,2.294
12/28/2015,2.321
12/21/2015,2.339
12/14/2015,2.348
12/7/2015,2.382
11/30/2015,2.398
11/23/2015,2.401
11/16/2015,2.421
11/9/2015,2.431
11/2/2015,2.393
10/26/2015,2.41
10/19/2015,2.442
10/12/2015,2.457
10/5/2015,2.46
09/28/2015,2.512
09/21/2015,2.546
09/14/2015,2.579
09/7/2015,2.632
08/31/2015,2.666
08/24/2015,2.751
08/17/2015,2.836
08/10/2015,2.867
08/3/2015,2.908
07/27/2015,2.94
07/20/2015,2.97
07/13/2015,3.019
07/6/2015,3.036
06/29/2015,3.028
06/22/2015,2.99
06/15/2015,3.014
06/8/2015,2.951
06/1/2015,2.937
05/25/2015,2.932
05/18/2015,2.907
05/11/2015,2.9
05/4/2015,2.849
04/27/2015,2.789
04/20/2015,2.731
04/13/2015,2.632
04/6/2015,2.65
03/30/2015,2.643
03/23/2015,2.653
03/16/2015,2.688
03/9/2015,2.704
03/2/2015,2.644
02/23/2015,2.568
02/16/2015,2.529
02/9/2015,2.511
02/2/2015,2.467
01/26/2015,2.483
01/19/2015,2.567
01/12/2015,2.663
01/5/2015,2.801
12/29/2014,2.898
12/22/2014,2.974
12/15/2014,3.043
12/8/2014,3.162
12/1/2014,3.248
11/24/2014,3.272
11/17/2014,3.319
11/10/2014,3.36
11/3/2014,3.416
10/27/2014,3.465
10/20/2014,3.522
10/13/2014,3.588
10/6/2014,3.612
09/29/2014,3.631
09/22/2014,3.644
09/15/2014,3.697
09/8/2014,3.725
09/1/2014,3.728
08/25/2014,3.745
08/18/2014,3.787
08/11/2014,3.81
08/4/2014,3.852
07/28/2014,3.882
07/21/2014,3.925
07/14/2014,3.951
